,0
segmentation,96
data,58
images,52
performance,52
image,51
cardiac,48
learning,48
models,46
deep,43
imaging,42
methods,42
model,41
different,35
medical,34
proposed,34
however,34
mri,33
using,32
datasets,32
clinical,31
analysis,29
resonance,29
information,29
magnetic,28
results,28
cmr,28
method,27
,27
tasks,26
approach,25
propose,25
two,25
used,25
diagnosis,24
dataset,24
accuracy,23
challenge,22
stateoftheart,21
training,21
domain,20
heart,19
right,19
paper,19
framework,18
task,18
features,18
networks,18
neural,18
trained,18
use,18
network,18
dice,17
ventricular,17
left,17
cardiovascular,17
mr,17
based,17
novel,17
applications,17
automatic,16
better,16
study,16
work,16
patients,16
compared,15
disease,15
automated,15
well,15
1,15
la,15
due,15
also,15
first,14
approaches,14
evaluate,14
shape,14
provide,14
important,14
one,14
new,14
without,14
rv,14
function,14
set,14
challenging,14
2,14
distance,13
attention,13
various,13
demonstrate,13
across,13
improve,13
hausdorff,13
robustness,13
accurate,13
high,12
dl,12
manual,12
multiple,12
architecture,12
3d,12
achieved,12
ventricle,12
current,12
good,11
time,11
experiments,11
three,11
development,11
large,11
subjects,11
improved,11
review,11
potential,11
convolutional,11
quality,11
multiview,11
unet,11
challenges,11
processing,11
including,11
classification,11
techniques,11
shortaxis,11
ai,10
train,10
structures,10
evaluated,10
acquisition,10
several,10
practice,10
multivendor,10
shown,10
complex,10
show,10
essential,10
respectively,10
need,10
algorithms,10
multicenter,10
problem,10
studies,10
regions,10
input,9
step,9
critical,9
segment,9
variability,9
views,9
many,9
mm,9
public,9
multidisease,9
provided,9
existing,9
distribution,9
problems,9
feature,9
score,9
myocardial,9
sa,9
vision,9
research,9
differences,9
lv,9
thus,9
available,9
limitations,9
present,9
comprehensive,8
context,8
domains,8
acquired,8
may,8
healthy,8
shifts,8
still,8
3,8
volume,8
space,8
myocardium,8
assessment,8
process,8
segmentations,8
since,8
field,8
generated,8
computer,8
optimization,8
representation,8
design,8
four,8
metrics,8
finally,8
applied,8
global,8
test,8
moreover,8
average,8
parameters,8
module,8
distributions,8
adaptation,8
obtained,8
pathologies,8
made,7
longaxis,7
particularly,7
fusion,7
semantic,7
future,7
poor,7
nnunet,7
recent,7
effective,7
acdc,7
quantification,7
performed,7
via,7
developed,7
detection,7
generalization,7
scanner,7
demonstrated,7
among,7
maps,7
achieves,7
provides,7
especially,7
measurements,7
motion,7
anatomy,7
low,7
showed,7
strategy,7
registration,7
recently,7
diseases,7
machine,7
cine,7
representations,7
transformer,7
unseen,7
explore,7
significantly,7
single,7
number,7
robust,7
specific,7
multiscale,6
reconstruction,6
view,6
possible,6
layers,6
interest,6
artificial,6
terms,6
intelligence,6
technique,6
segmenting,6
allows,6
address,6
encoder,6
segmented,6
short,6
privacy,6
increase,6
issue,6
improves,6
learningbased,6
control,6
2d,6
centres,6
cohort,6
tested,6
characteristics,6
reference,6
sets,6
increasing,6
underlying,6
transformers,6
efficient,6
4,6
improving,6
amount,6
target,6
hence,6
quantitative,6
often,6
range,6
mms,6
healthcare,6
required,6
scores,6
baseline,6
0001,6
local,6
scans,6
despite,6
commonly,6
introduce,6
lge,6
gap,6
widely,6
workflow,6
brain,6
cavity,6
strategies,6
type,5
main,5
anatomical,5
solutions,5
promising,5
addition,5
investigate,5
key,5
create,5
transformation,5
simulated,5
vendors,5
building,5
fully,5
disentanglement,5
works,5
basal,5
application,5
appearance,5
timeconsuming,5
abstract,5
solution,5
requires,5
sampling,5
automatically,5
predictive,5
ejection,5
related,5
annotation,5
aims,5
optimal,5
develop,5
scenarios,5
namely,5
spatial,5
particular,5
core,5
consists,5
improvement,5
associated,5
methodology,5
conventional,5
mechanism,5
labels,5
original,5
generalizability,5
specifically,5
values,5
manually,5
second,5
mechanisms,5
great,5
gan,5
end,5
years,5
scar,5
dsc,5
achieve,5
endtoend,5
evaluation,5
efficiency,5
furthermore,5
agreement,5
gradient,5
computational,5
reliable,5
regularization,5
slices,5
volumes,5
useful,5
others,5
overview,5
synthetic,5
focus,5
enabling,5
centre,5
testing,5
enable,5
validation,5
cardiomyopathy,5
tissue,5
improvements,5
treatment,5
aim,5
selection,5
traditional,5
additional,5
order,5
loss,5
assess,5
pipelines,5
prior,5
experimental,5
ensure,5
contrast,5
ability,5
ct,4
sequences,4
shapes,4
significant,4
identifying,4
additionally,4
multicentre,4
statistical,4
algorithm,4
reduces,4
although,4
axis,4
late,4
centers,4
included,4
validated,4
thin,4
extensive,4
surface,4
cases,4
fl,4
collected,4
knowledge,4
projection,4
complexity,4
difficult,4
predicted,4
etc,4
external,4
diabetes,4
describe,4
uses,4
tracking,4
implemented,4
augmentation,4
correlation,4
learn,4
encoding,4
perform,4
estimation,4
developments,4
make,4
crucial,4
resulted,4
points,4
introduced,4
bias,4
reduce,4
could,4
general,4
