,0
segmentation,2739
tumor,2005
brain,1985
images,1727
image,1449
data,1434
mri,1397
results,1357
learning,1225
network,1224
method,1223
proposed,1195
methods,1184
model,1183
using,1179
performance,1138
imaging,1097
deep,1042
based,996
features,942
dataset,935
paper,934
used,933
medical,930
accuracy,871
different,837
tumors,836
neural,826
training,791
models,781
resonance,781
magnetic,780
information,773
brats,770
networks,715
dice,712
propose,706
clinical,695
analysis,687
convolutional,666
patients,663
approach,639
datasets,629
however,628
diagnosis,628
classification,583
also,576
,573
two,570
task,564
3d,560
study,548
compared,543
challenge,533
work,517
treatment,515
feature,506
mr,493
accurate,491
novel,489
detection,486
stateoftheart,485
unet,474
set,473
use,466
high,466
one,465
show,459
automatic,455
respectively,443
algorithm,443
architecture,435
trained,434
glioma,433
time,429
tasks,423
multimodal,422
prediction,421
due,414
techniques,414
first,410
available,403
better,400
achieved,399
core,398
regions,392
cnn,392
three,388
algorithms,388
research,383
improve,383
process,382
framework,378
evaluated,374
whole,368
new,366
gliomas,366
modalities,362
challenging,359
experiments,357
experimental,356
present,354
problem,351
multiple,344
machine,343
approaches,337
automated,332
applications,330
validation,329
existing,327
obtained,326
important,325
segment,324
large,320
applied,317
demonstrate,314
recent,312
field,308
various,307
including,306
region,306
fully,305
loss,303
provide,297
coefficient,296
manual,295
test,294
processing,294
scans,293
planning,292
well,292
enhancing,292
technique,286
evaluation,282
patient,280
performed,276
input,270
survival,269
cancer,265
attention,265
developed,263
potential,262
many,261
parameters,260
studies,259
tissue,256
number,255
similarity,254
average,254
size,254
significant,253
several,252
score,251
extracted,250
achieve,250
extraction,245
improved,243
may,242
quality,238
spatial,238
common,235
finally,234
volume,233
evaluate,232
overall,231
disease,231
function,226
mean,225
among,223
without,219
glioblastoma,219
abstract,219
local,218
significantly,217
sensitivity,216
human,216
challenges,215
area,214
system,213
efficient,213
current,211
quantitative,210
effective,210
therefore,209
achieves,209
addition,205
development,205
shape,203
result,203
extract,203
cases,202
scores,202
train,202
structure,199
provides,199
computational,199
cnns,199
modality,198
lesions,198
1,196
second,195
order,195
low,195
module,194
terms,193
2,193
domain,192
standard,189
years,189
segmented,189
2018,188
could,188
robust,187
2d,187
level,186
flair,185
small,183
fusion,183
layers,181
four,181
review,181
across,180
problems,180
testing,178
often,178
random,178
ct,178
ie,178
semantic,178
obtain,178
role,177
architectures,177
maps,177
promising,176
thus,176
tissues,176
recently,175
interest,175
best,174
types,174
convolution,173
contrast,172
volumes,172
learn,170
sets,169
outperforms,169
application,168
practice,168
lesion,167
preprocessing,166
dsc,166
intensity,166
introduce,165
step,164
strategy,163
classifier,163
within,163
adversarial,163
tumour,162
address,162
presented,161
moreover,161
automatically,161
tested,160
future,160
benchmark,160
furthermore,160
designed,159
single,157
demonstrated,157
main,157
uses,157
highly,156
limited,156
reduce,155
segmenting,154
metrics,154
widely,154
assessment,154
tool,153
context,152
computer,152
t1,152
effectiveness,152
